code,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021
CR560,Architectural Technology,288 ,332,308,,,,,375,
CR565,Interior Architecture,336 ,390,359,,,,,431,
CR570,Quantity Surveying,279 ,342,336,,,,,375,
CR572,Construction Management,253 ,300,269,,,,,300,
CR580,Electrical Engineering,344 ,374,318,,,,,342,
CR590,Electronic Engineering,342 ,411,303,,,,,329,
CR600,Visual Communications at CIT Crawford College of A,#587 ,888,#+matric,,,,#,#280,
CR660,Tourism Management,249 ,290,252,,,,,246,
CR700,Theatre and Drama Studies at CIT Cork School of Mu,#768 ,906,740,645,,,#,#609,#609
CR930,Home Economics and Business,,,,,,,,518*,
CK101,Arts - 3 years,300 ,368,300,,,,,300,
CK102,Social Science,391 ,431,412,,,,,434,431
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,#340 ,409,302,,,,#,#339,
CK105,Film and Screen Media - 3 years or 4 years (Intern,397 ,442,368,337,,,,421,420*
CK107,Geographical and Archaeological Sciences - 3 or 4,326 ,388,328,,,,,312,
CK108,Arts International - 4 years,429 ,466,401,,,,,440*,440
CK109,English - 3 years or 4 years (International Pathwa,347 ,423,318,,,,,367,357
CK110,World Languages,456 ,506,452,433,,,,488,
CK111,Early Years and Childhood Studies,398 ,429,419,,,,,409,403
CK112,Theatre and Performative Practices - 3 or 4 years,#324 ,470,330,,,,#,#371,
CK113,Criminology - 3 years or 4 years (International Pa,408 ,430,423,,,,,464,463
CK114,Social Science (Youth and Community Work),#,,,,,,#,#,
CK115,Social Work - Mature Applicants only,#,,,,,,,,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,307 ,361,336,,,,,347,339
CK120,Applied Psychology,506 ,532,533,532,*,*,,544,543*
CK121,Psychology and Computing - 3 or 4 years (Work Expe,393 ,466,466,,,,,499,488
CK122,Government and Political Science,355 ,410,337,328,,,,399,
CK123,Anthropology,,,308,,,,,308,
CK124,Education - Gaeilge,,,463,462,,,,473,
CK125,Sports Studies and Physical Education,,,510,509,*,*,,564,555*
CK201,Commerce,465* ,489,477,,*,,,500,499*
CK202,Accounting,467 ,506,509,,,,,553,543*
CK203,Business Information Systems,409 ,444,430,,,,,455,452
CK204,Finance,531 ,555,556,,,,,566*,566*
CK205,Commerce (International) with French,409 ,473,445,,,,,465,
CK206,Commerce (International) with German,408 ,446,420,418,,,,466,455
CK207,Commerce (International) with Italian,408 ,425,388,,,,,423,418
CK208,Commerce (International) with Hispanic Studies,431 ,455,402,,,,,488,486
CK209,Commerce (International) with Irish,509 ,528,484,,,,,507,
CK211,Commerce (International) with Chinese Studies,398 ,420,397,,,,,385,
CK212,Economics (through Transformational Learning) 3 or,400 ,429,444,,,,,445,444
CK213,Food Marketing and Entrepreneurship,,,462,,,,,466,
CK214,International Development,,,346,,,,,332,
CK301,Law (Pathways) -  3 or 4 years,476 ,519,507,499,,,,533,532*
CK302,Law and French,453 ,531,542,,,,,545,
CK304,Law and Irish,462 ,510,540,,,,,588,
CK307,Law and Business,522 ,554,556,,,,,589*,589*
CK401,Computer Science,402 ,456,468,,,,,503,495
CK402,Biological and Chemical Sciences,498 ,520,510,509,*,*,,555*,555
CK404,Biological  Earth and Environmental Sciences,412 ,451,467,,,,,500,495*
CK405,Genetics,476 ,496,487,,,,,543,
CK406,Chemical Sciences,457 ,488,485,472,,,,532,
CK407,Mathematical Sciences,531 ,578,566,565,,*,,566,
CK408,Physics and Astrophysics,511 ,566,554,542,,,,566,
CK409,Industrial Physics - Offered jointly by UCC and CI,413 ,532,432,,,,,465,
CK411,Data Science and Analytics,509 ,542,510,,,,,531,
CK412,Agricultural Science,457 ,509,496,496,*,*,,506,
CK504,Nutritional Sciences,492 ,509,518,,,,,555,554*
CK505,Food Science,444 ,477,441,440,,*,,463,
CK600,Engineering,465 ,532,487,,,,,510,509*
CK606,Architecture - Offered jointly by UCC and CIT,465 ,496,484,476,,,,543,
CK701,Medicine (Undergraduate Entry - HPAT required),#729 ,740,731,,,,#,#738,#737*
CK702,Dentistry,590 ,613,613,613,*,*,,625*,625*
CK703,Pharmacy,577 ,589,590,589,,*,,613*,613*
CK704,Occupational Therapy,532* ,554,566,555,,*,,601*,
CK705,Speech and Language Therapy,509 ,529,520,,,,,568,566*
CK706,Public Health Sciences,419 ,451,454,,,,,500,
CK707,Medical and Health Sciences,510* ,543,542,541,,,,578*,
CK710,General Nursing,440 ,466,454,,*,,,498*,497*
CK712,Children`s and General Nursing (Integrated),499 ,520,533,,,,,565,
CK720,Mental Health Nursing,398 ,429,423,,,,,455,452
CK730,Intellectual Disability Nursing,359 ,388,419,411,,,,431,
CK740,Midwifery,444 ,474,484,,,,,509*,
CK791,Medicine  - Graduate Entry (GAMSAT required),#58* ,59,57,,*,,#,#60*,#60*
AC120,International Business,234 ,269,209,,,,,294,294
AC137,Liberal Arts,252 ,275,252,,,,,271,270
CT125,Computing and IT,235 ,280,220,,,,,242,242
CT325,Business,,,338,,,,,253,253
CM001,Education - Primary Teaching,452* ,462,484,,*,,,508,
CM002,Education - Primary Teaching - Gaeltacht Applicant,#421 ,440,,,,,#,#462,
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,#491 ,506,528,,,,#,#513,
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,#492 ,569,494,,,,#,#480,
CM010,Education Studies,317 ,373,319,,,,,382,327
CM020,Early Childhood Education,336 ,363,327,,,,,317,
DB500,Computing,242 ,320,218,218,,,,234,234
DB501,Computing (Cloud Computing),326 ,329,227,227,,,,,178
DB502,Computing (Data Analytics and Big Data),269 ,269,341,341,,,,267,233
DB503,Computing (Software Development),242 ,282,225,225,,,,,
DB504,Computing (Web and Mobile Technology),227 ,269,,281,,,,,
DB510,Audio Production and Music Project Management,233 ,293,234,223,,,,217,217
DB512,Business Studies,229 ,301,218,203,,,,243,210
DB514,Business Studies (Law),269 ,337,252,,,,,239,225
DB515,Business Studies (Human Resource Management),225 ,288,244,244,,,,242,217
DB517,Marketing (Event Management),226 ,327,238,,,,,233,225
DB518,Marketing (Digital Media),210 ,289,,,,,,307,209
DB521,Accounting and Finance,225 ,271,225,195,,,,243,228
DB524,Business (Information Systems),402 ,402,342,309,,,,247,239
DB525,Marketing (Digital Media and Cloud Computing),284 ,309,,,,,,288,288
DB526,Business (Cloud Computing),253 ,288,347,,,,,244,244
DB527,Applied Social Care,235 ,288,234,260,,,,254,219
DB531,Marketing,220 ,288,293,,,,,288,176
DB562,Psychology,208 ,310,243,229,,,,244,233
DB566,Social Science,216 ,308,220,227,,,,262,228
DB567,Film and Creative Media,192 ,295,218,202,,,,245,213
DB568,Law,245 ,308,219,252,,,,254,228
DB569,Business (Psychology),279 ,338,252,,,,,240,240
DC001,Education - Early Childhood Education,398 ,424,440,,,,,445,
DC002,Education - Primary Teaching,462* ,485,488,,,,,518*,
DC003,Education - Primary Teaching - Gaeltacht Applicant,#433 ,473,445,,,,#,#489,
DC004,Education - Primary Teaching (Church of Ireland Ce,#,357,411,409,,,#,#451,
DC009,Arts (Joint Honours) - Humanities,347 ,408,376,,,,,356,
DC010,Post Primary Teacher Education - Religious Educati,386 ,413,441,429,,,,384,
DC011,Post Primary Teacher Education - Religious Educati,352 ,389,412,391,,,,409,
DC012,Post Primary Teacher Education - Religious Educati,#367 ,415,378,,,,#,409,
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,410 ,509,419,,,,,413,
DC014,BA in Jazz and Contemporary Music Performance (aud,#428 ,590,419,,,,#,#311,
DC110,Business Studies International,440 ,462,465,,,,,498,
DC111,Business Studies,463 ,479,488,,,,,511,
DC112,Global Business (France),495 ,510,517,510,,,,542*,
DC113,Global Business (Germany),440 ,476,462,,,,,484,
DC114,Global Business (Spain),501 ,543,522,,,,,544,
DC115,Accounting and Finance,487 ,500,510,,,,,544,
DC116,Global Business (USA),578 ,589,579,,,,,613*,
DC117,Aviation Management / Aviation Management with Pil,463 ,487,476,475,,,,484,
DC118,Gná agus Gaeilge / Business and Irish,357 ,399,359,,,,,368,
DC119,Global Business (Canada),566 ,577,564,,,,,601,
DC120,Computing for Business,350 ,389,357,,,,,403,402
DC121,Computer Science,370 ,418,400,,,,,475,
DC123,Data Science,467 ,511,465,,,,,501,
DC126,Actuarial Mathematics,520 ,543,560,,,,,577*,
DC127,Common Entry into Actuarial and Financial Mathemat,509 ,531,532,520,,,,541,
DC131,Communication Studies,400 ,441,407,402,,,,421,
DC132,Journalism,401 ,440,429,422,,,,452,
DC133,Multimedia,403 ,451,411,410,,,,435,
DC155,Applied Language and Translation Studies,371 ,430,387,,,,,427,
DC161,Analytical Science,446 ,463,498,489,*,,,498,
DC162,Chemical and Pharmaceutical Sciences,488 ,498,521,,,,,531*,
DC163,Chemical Sciences General Entry (Undenominated Ent,,,,,,,,466*,
DC166,Environmental Science and Technology,412 ,442,433,399,,,,423*,
DC168,Genetics and Cell Biology,489 ,500,512,510,*,,,543*,
DC175,Physics General Entry (options),,,419,402,,,,400,
DC180,Biological Sciences General Entry (Undenominated E,,,,,,,,530,
DC181,Biotechnology,476 ,488,499,495,,,,530,
DC190,Electronic and Computer Engineering (with choice o,391 ,433,413,,,,,488,
DC193,Mechatronic Engineering,404 ,445,411,,,,,490,
DC194,Sustainable Systems and Energy,,,,,,,,476,
DC195,Mechanical and Manufacturing Engineering,401 ,444,425,,,,,500,
DC197,Biomedical Engineering,402 ,446,423,,,,,510,
DC200,Common Entry into Engineering (Undenominated Entry,381 ,444,422,,,,,511,510
DC202,Sport Science and Health,467 ,476,500,498,,*,,511,
DC203,Science Education,424 ,476,435,,,,,462,
DC204,Athletic Therapy and Training,484 ,500,522,519,,,,558,
DC205,Physical Education with Biology,490 ,521,531,,,,,565,
DC206,Physical Education with Mathematics,443 ,476,499,,,,,521,
DC207,Psychology and Mathematics,,,,,,,,521,
DC208,Psychology,509 ,521,532,521,,,,565,
DC209,Health and Society,419 ,440,465,440,,,,477,
DC210,Psychology and Disruptive Technologies,,,,,,,,506,
DC215,General Nursing,414 ,443,454,433,,,,456*,
DC216,Mental Health Nursing,368 ,389,418,403,,,,420,
DC217,Intellectual Disability Nursing,347 ,362,370,,,,,382,
DC218,Children`s and General Nursing (Integrated),467 ,480,500,498,,,,521*,
DC230,Economics  Politics and Law,400 ,431,435,,,,,431,
DC231,International Relations,387 ,445,397,,,,,398,
DC232,Law and Society (BCL),453 ,487,466,,,,,469,
DC235,Education and Training - Daytime and Flexible Deli,307 ,327,309,,,,,302,
DC238,Social Sciences and Cultural Innovation,358 ,388,377,,,,,387,
DC240,Marketing  Innovation and Technology,451 ,474,476,474,,,,499,
DC241,Digital Business and Innovation,,,,,,,,509,
DC291,Arts (Joint Honours) - Media Studies,349 ,392,376,,,,,350,
DC292,Arts (Joint Honours) - Law,356 ,388,403,,,,,400,
DC293,Arts (Joint Honours) - International Languages,369 ,400,377,,,,,379,
DC294,Climate and Environmental Sustainability,,,,,,,,475,
DC295,Arts (Joint Honours) - Politics,348 ,387,376,,,,,349,
DL822,Arts Management,209 ,319,229,229,,,,254,
DL823,Business Management,260 ,316,235,,,,,220,
DL825,Applied Psychology,349 ,413,379,,,,,418,413
DL826,Graphic Design,#736 ,989,855,,,,#,#591,
DL827,Art,#583 ,902,572,,,,#,#574,
DL832,Animation,#855 ,1055,920,,,,#,#989,
DL833,Photography and Visual Media,#636 ,791,650,,,,#,#671,#671
DL836,Creative Computing,217 ,326,219,,,,,235,
DL837,New Media Studies,290 ,349,201,,,,,298,293
DL838,Creative Music Production,#746 ,873,754,,,,#,#713,
DL839,Interaction and User Experience Design,,,683,683,,,#,#757,
DL840,Digital Marketing,,,228,228,,,,210,
DL841,English and Equality Studies,,,276,,,,,277,277
DL843,Film,,,,,,,,#987,#874
DL844,Television,,,,,,,,#566,
DL845,Design for Film (degree options),,,,,,,,#628,
GC200,Business,269 ,359,252,252,,,,269,242
GC201,Accounting and Finance,251 ,388,303,303,,,,260,226
GC230,Computing Science,228 ,327,335,325,,,,300,289
GC300,Business,251 ,302,429,,,,,264,264
GC301,Accounting and Finance,307 ,314,253,253,,,,,251
GC302,Business - HRM,269 ,269,,,,,,377,377
GC307,Business (Marketing),,,,,,,,289,270
GC400,Business,246 ,297,248,248,,,,250,228
GC401,Accounting and Finance,181 ,309,240,227,,,,242,242
GC402,Business (HRM),217 ,290,264,236,,,,,
GC403,Law,225 ,308,244,228,,,,245,242
GC407,Business (Marketing),246 ,330,280,280,,,,264,264
GC430,Computing Science,217 ,269,252,220,,,,251,251
GC450,Communications and Media Production,227 ,307,254,254,,,,225,225
GC462,Design Communication (portfolio),,,,,,,#,#300,
GC489,Interior Architecture (portfolio),#267 ,361,254,,,,#,#288,#274
GC494,Fashion Design (portfolio),#,,337,217,,,#,#351,
BY001,Business,,,,,,,,210,210
ID001,Accounting and Finance,229 ,291,203,,,,,,
ID002,Business Studies,285 ,366,294,,,,,,
AD101,First Year Art and Design (Common Entry portfolio),# +matric,550,#+matric,,,,#,#554,
AD102,Graphic Design and Moving Image Design (portfolio),# +matric,635,#+matric,,,,#,#538,
AD103,Textile and Surface Design and Jewellery and Objec,# +matric,545,#+matric,,,,#,#505,
AD202,Education and Design or Fine Art (Second Level Tea,# +matric,580,#+matric,,,,#,#591,
AD204,Fine Art (portfolio),# +matric,600,#+matric,,,,#,#514,
AD211,Fashion Design (portfolio),# +matric,600,#+matric,,,,#,#760,#679
AD212,Product Design (portfolio),# +matric,600,#+matric,,,,#,#413,
AD215,Visual Culture,300 ,338,377,320,,,,337,300
AD217,Illustration (portfolio),# +matric,625,#+matric,,,,#,#738,
AD222,Interaction Design (portfolio),# +matric,657,#+matric,,,,#,#444,
NC003,Computing (Degree Award options),261 ,316,260,,,,,271,
NC005,Human Resource Management,297 ,320,300,,,,,301,
NC009,Business,297 ,339,300,,,,,300,
NC010,Psychology,366 ,399,400,,,,,420,
NC020,Marketing Practice,270 ,307,280,,,,,270,
NC022,Accounting and Finance,338 ,376,337,,,,,330,
NC023,Technology Management (with specialisations),260 ,303,261,,,,,266,
NC030,Early Childhood Education and Care,,,,,,,,251,251
RC001,Medicine - Undergraduate Entry (HPAT required),#729 ,733,733,,,,#,#741,#740*
RC004,Physiotherapy,532* ,542,566,,,,,589*,589*
RC005,Pharmacy,555 ,566,579,,,,,613*,613
RC101,Medicine - Graduate Entry (GAMSAT required),#60 ,62,,,,,#,,
NM801,Montessori Education,,,220,,,,,262,
NM802,Psychology,,,,,,,,228,
TU801,Sustainable Energy Engineering,,,235,,,,,235,
TU802,Electrical Services and Energy Management,,,317,300,,,,309,
TU804,Engineering (Common Entry with Award options),,,271,,,,,270,
TU805,Engineering (General Entry),,,402,,,,,466,465
TU807,Computer Engineering in Mobile Systems,,,276,,,,,274,
TU810,Mechatronic Engineering,,,270,,,,,271,
TU811,Product Design,,,411,,,,,440,434
TU812,Design Technology and Innovation,,,270,,,,,278,
TU814,Sustainable Transport Management,,,285,251,,,,253,253
TU828,Mechanical Engineering (General Entry),,,,,,,,300,
TU829,Electronic Engineering (General Entry),,,,,,,,248,248
TU831,Architectural Technology,,,410,,,,,423,
TU832,Architecture (Suitability Test and Interview),,,622,,,,#,#644,#638
TU833,Construction Management,,,367,,,,,396,
TU834,Geographic Science,,,288,,,,,315,
TU835,Planning and Environmental Management,,,313,,,,,330,
TU836,Property Economics (Valuation Surveying),,,401,,,,,411,
TU837,Quantity Surveying and Construction Economics,,,385,,,,,413,
TU838,Sustainable Timber Technology,,,,,,,,307,271
TU851,Analytical Chemistry (Environmental  Forensic and,,,349,,,,,400,
TU852,Chemical Sciences with Medicinal Chemistry,,,476,,,,,477,
TU854,Science (General Entry),,,476,,,,,510,
TU855,Science with Nanotechnology,,,331,319,,,,322,
TU856,Computer Science,,,476,,,,,499,
TU857,Computer Science (Infrastructure),,,391,,,,,403,
TU858,Computer Science (International),,,377,,,,,395,
TU859,Computing,,,217,234,,,,251,
TU860,Computing (Information Technology),,,260,,,,,270,
TU861,Computing with Language (French/German/Spanish),,,308,308,,,,235,235
TU862,Computing with Artificial Intelligence Machine Lea,,,226,226,,,,262,
TU863,Digital Forensics and Cyber Security,,,280,,,,,282,
TU864,DNA and Forensic Analysis,,,400,390,,,,500,441
TU865,Cloud Computing,,,226,,,,,235,
TU866,Biomedical and Molecular Diagnostics,,,487,,,,,522,
TU867,Biomedical Science,,,524,,,,,576,566*
TU868,Clinical Measurement Science,,,510,,,,,542,
TU869,Environmental Health,,,336,,,,,387,
TU870,Human Nutrition and Dietetics,,,578,,,,,601*,
TU871,Optometry,,,509,,,,,532,
TU872,Public Health Nutrition,,,491,,,,,487,
TU874,Mathematical Sciences,,,341,,,,,294,294
TU875,Pharmaceutical Healthcare,,,400,,,,,451,
TU876,Pharmaceutical Science,,,377,349,,,,445,
TU877,Physics Technology,,,308,,,,,314,314
TU878,Physics with Energy and Environment,,,337,337,,,,339,
TU879,Physics with Medical Physics and Bioengineering,,,351,,,,,346,
TU880,Physics with Data Science,,,578,,,,,412,
TU881,Food Innovation,,,318,,,,,309,
TU882,Nutraceuticals in Health and Nutrition,,,397,,,,,380,
TU902,Business (options),,,271,,,,,270,
TU903,Business and Management,,,463,,,,,477,
TU904,Business and Law,,,462,,,,,462,
TU905,Economics and Finance,,,465,,,,,460,
TU906,Human Resource Management,,,395,,,,,386,377
TU907,Logistics and Supply Chain Management,,,300,,,,,300,
TU910,Accounting,,,444,,,,,420,
TU912,Business Analytics,,,330,,,,,331,311
TU914,Business Computing,,,324,,,,,322,
TU917,Law (LLB ) with a Language,,,342,,,,,356,
TU918,Law (LLB),,,451,,,,,463,
TU919,Advertising and Marketing Communications,,,228,226,,,,219,
TU920,Digital Marketing,,,270,,,,,270,
TU921,Digital Marketing Technologies,,,212,212,,,,230,
TU922,Marketing,,,418,,,,,412,
TU924,E-Commerce in Retailing,,,307,,,,,307,
TU925,Retail and Services Management,,,301,,,,,307,
TU932,Business (options),,,,,,,,211,
TU933,Accounting and Finance (campus options),,,,,,,,251,
TU935,Sports Management and Coaching,,,300,,,,,300,
TU936,Sports Science and Health,,,410,391,,,,484,
TU941,Botanical Cuisine,,,249,,,,,311,
TU942,Culinary Arts,,,212,212,,,,252,
TU943,Culinary Entrepreneurship,,,278,,,,,261,
TU944,Culinary Science,,,316,,,,,336,
TU951,International Hospitality and Tourism Management,,,184,184,,,,244,
TU952,International Hospitality Management,,,300,,,,,309,
TU953,Tourism and Digital Marketing,,,290,,,,,308,
TU954,Event Management,,,356,,,,,326,
TU955,Sports and Leisure Management,,,217,317,,,,275,
TU961,Commercial Modern Music (BIMM - assessment/auditio,,,608,608,,,#,#536,#536
TU962,Drama (Performance  audition),,,379,,,,#,#448,
TU963,Music (audition),,,416,,,,#,#364,
TU965,International Business and Languages,,,356,346,,,,357,
TU967,Languages and International Tourism,,,308,,,,,298,
TU973,Design - Visual Communication (portfolio),,,717,,,,#,#700,
TU974,Fine Art (portfolio),,,709,563,,,#,#549,
TU975,Interior Design (portfolio),,,632,,,,#,#544,
TU976,Photography (portfolio),,,695,,,,#,#700,
TU978,Creative Industries and Visual Culture,,,,,,,,299,
TU981,Creative Digital Media,,,280,,,,,280,
TU982,Media Production and Digital Arts,,,320,311,,,,369,
TU983,Film and Broadcasting,,,456,451,,,,462,453
TU984,Game Design,,,381,,,,,414,
TU985,Journalism,,,322,,,,,367,
TU989,Early Childhood Care and Education (campus options,,,,,,,,270,
TU991,Applied Social Studies in Social Care,,,325,,,,,326,
TU992,Community Development and Youth Work,,,251,,,,,251,
TU995,Early Childhood Education,,,367,,,,,378,
TU996,Social Care,,,400,,,,,407,
TU997,Applied Social Care,,,310,283,,,,320,
TR002,Music,#414 ,473,435,429,,,,508,477*
TR003,History,486 ,518,497,493,,,,552,543*
TR004,Law,532 ,552,566,565,,*,,590*,589
TR005,Philosophy,391 ,446,442,,,,,510,497
TR006,Psychology,555* ,577,567,555,,*,,601*,590
TR007,Clinical Speech and Language Studies,499 ,529,529,,,,,564*,
TR009,Music Education,#430 ,465,420,,,,#,#496,#486
TR015,Philosophy  Political Science  Economics and Socio,566 ,577,589,,,,,613*,613*
TR016,Deaf Studies,337 ,372,340,,,,,389,
TR018,Law and French,532* ,554,565,,,,,602*,602
TR019,Law and German,523 ,555,543,542,,,,577,567
TR021,Classics  Ancient History and Archaeology,377 ,495,370,,,,,467,462
TR022,Early and Modern Irish,347 ,407,398,,,,,377,
TR023,English Studies,463 ,511,487,476,,,,546,541*
TR024,European Studies,520 ,544,544,542,,,,566,
TR025,Drama and Theatre Studies,#489 ,531,564,530,,,#,#543,#519
TR028,Ancient and Medieval History and Culture,339 ,451,342,,,,,498,463
TR031,Mathematics,566 ,589,531,,,,,579,578
TR032,Engineering,487* ,520,510,509,,*,,556,555
TR033,Computer Science,465* ,488,509,,,,,566*,549
TR034,Management Science and Information Systems Studies,589* ,602,613,,*,,,625*,625*
TR035,Theoretical Physics,554 ,601,543,,,,,590,589*
TR038,Engineering with Management,499 ,543,532,,,,,589*,589*
TR039,Computer Science  Linguistics and a Language,435 ,498,454,424,,,,443,
TR040,Middle Eastern and European Languages and Cultures,485 ,518,466,,,,,520,499
TR041,Religion,347 ,393,368,,,,,417,
TR042,Film,,,489,476,,,,531,522
TR043,History of Art and Architecture,,,393,354,,,,498,486
